No,Date/Time,Altitude [m],Size fraction,Mass v [µg/m**3],Na+ [µg/m**3],[NH4]+ [µg/m**3],K+ [µg/m**3],Mg2+ [µg/m**3],Ca2+ [µg/m**3],Cl- [µg/m**3],[NO3]- [µg/m**3],[SO4]2- [µg/m**3],[C2O4]2- [µg/m**3],Br- [µg/m**3],C org [µg/m**3],EC [µg/m**3],TC [µg/m**3],Ca [ng/m**3],Ti [ng/m**3],V [ng/m**3],Cr [ng/m**3],Mn [ng/m**3],Fe [ng/m**3],Ni [ng/m**3],Cu [ng/m**3],Zn [ng/m**3],Pb [ng/m**3],As [ng/m**3],Se [ng/m**3],Sr [ng/m**3],Rb [ng/m**3],Ba [ng/m**3],La [ng/m**3],Ce [ng/m**3],Duration,Date/time end
683651,2011-04-25 14:06:03,42,0.14 - 0.42 µm,18.962,0.7476,0.0073,0.0031,0.2669,0.13888,1.3233,0.0295,0.6209,0.0016,0.0023,0.108,0.03,0.094,43.66,12.6959,2.4015,0.5962,10.6578,54.6447,1.3821,0.396,0.107,0.1887,0.0186,0.0694,0.6254,0.2192,58.6822,1.0651,1.858,0.0,2011-04-25 14:06:03
13864036,2011-04-20 06:32:58,42,0.42 - 1.2 µm,16.627,0.0366,0.0389,0.0008,0.0178,0.99819,0.0576,0.0749,0.4564,0.0078,0.0002,0.203,0.275,0.543,991.44,25.6846,0.0212,2.3601,6.7531,1151.9572,0.2744,0.271,3.059,1.3649,0.0374,0.0133,16.422,1.5916,0.3986,3.3326,0.3,65238.0,2011-04-21 00:40:16
8963088,2010-03-12 22:26:18,42,1.2 - 3.5 µm,0.039,0.1696,0.0008,0.0003,0.0007,0.03815,0.2281,0.0562,0.0499,0.0011,0.001,0.1,0.004,0.042,42.51,0.3649,0.2804,0.1367,0.2666,16.5291,0.0756,0.104,0.415,0.0475,0.0508,0.0179,0.0859,0.0117,0.0024,0.0025,0.003,115981.0,2010-03-14 06:39:19
2938562,2010-01-11 16:54:00,42,1.2 - 3.5 µm,2.087,0.2286,0.012,0.0003,0.0183,0.00969,0.2557,0.0011,0.1454,0.0001,0.0015,0.03,0.14,0.034,0.32,0.0001,0.0234,0.0021,0.0073,0.0037,0.0112,0.026,0.084,0.0065,0.0179,0.001,0.0108,0.001,0.0047,0.2935,0.004,187322.0,2010-01-13 20:56:02
16097148,2011-11-26 11:39:35,42,1.2 - 3.5 µm,29.024,0.1428,0.0008,0.0003,0.0936,0.28792,0.487,0.4597,0.3954,0.0039,0.0,0.158,0.028,0.281,598.36,37.4791,0.0598,0.4757,3.7434,879.0287,0.289,0.205,1.936,0.7456,0.0077,0.0087,5.2384,3.1925,0.0145,0.0089,0.015,19265.0,2011-11-26 17:00:40
15971841,2010-11-14 07:43:55,42,0.42 - 1.2 µm,2.975,0.1169,0.0893,0.0489,0.1142,0.11373,0.1025,0.0048,0.8377,0.0045,0.0004,0.071,0.06,0.087,13.73,0.2076,0.7756,0.0657,0.3105,14.5163,1.0529,0.038,0.136,0.4678,0.0734,0.012,0.1261,0.0113,0.003,0.0028,0.003,44968.0,2010-11-14 20:13:23
11959008,2010-06-13 18:15:56,42,0.05 - 0.14 µm,0.128,0.0114,0.0151,0.0003,0.0081,0.00661,0.0229,0.0008,0.1044,0.0001,0.0007,0.005,0.126,0.029,0.25,0.0011,0.002,0.0045,0.0062,0.0002,0.0101,0.025,0.199,0.0025,0.0016,0.0055,0.0036,0.001,0.0024,0.0,0.003,56058.0,2010-06-14 09:50:14
467056,2010-10-22 19:16:08,42,0.14 - 0.42 µm,2.287,0.041,0.0019,0.0003,0.0022,0.27635,0.0319,0.0493,0.1932,0.0032,0.0002,0.291,0.034,0.565,85.58,2.9304,0.3712,0.3568,0.1639,70.7128,0.2082,1.23,0.571,0.2203,0.0017,0.0011,1.1718,0.0744,0.1197,1.1678,0.019,4275.0,2010-10-22 20:27:23
8374687,2011-12-02 05:12:08,42,1.2 - 3.5 µm,32.824,0.417,0.0275,0.0003,0.07,0.72874,0.8768,0.0406,0.5347,0.0106,0.0023,0.703,0.068,0.719,934.1,65.1683,1.7682,2.8206,12.4532,779.7059,0.2793,0.708,2.713,1.6344,0.0554,0.0004,7.8906,1.7134,48.116,1.7962,0.138,16540.0,2011-12-02 09:47:48
10016477,2011-09-11 08:34:46,42,0.42 - 1.2 µm,8.897,0.0494,0.0032,0.0003,0.0234,1.06902,0.274,0.6096,0.5454,0.0055,0.0,0.417,0.08,0.401,712.73,80.3464,1.598,1.1324,29.6407,839.7975,0.259,0.297,3.243,0.5501,0.0116,0.0648,2.3377,0.916,5.1546,0.4791,0.459,114906.0,2011-09-12 16:29:52
266821,2010-06-05 14:09:20,42,3.5 - 10 µm,5.121,1.8972,0.0013,0.1078,0.2063,0.11435,2.6591,0.4438,0.3235,0.0164,0.0016,0.052,0.125,0.131,47.62,2.3219,0.0615,0.0444,1.1854,6.6782,0.1334,0.21,0.058,0.0137,0.2303,0.3236,0.5953,0.0065,0.1455,0.0146,0.005,62669.0,2010-06-06 07:33:49
5411975,2011-12-14 01:55:53,42,3.5 - 10 µm,10.656,0.0534,0.0184,0.0003,0.0008,0.04221,0.0285,0.1162,0.3423,0.0089,0.0,0.158,0.02,0.145,555.17,89.8003,4.7426,1.7001,28.1616,1309.4493,1.0409,2.83,3.543,3.6934,0.0242,0.0773,6.1833,1.2491,25.4812,4.9086,0.096,0.0,2011-12-14 01:55:53
15853244,2011-11-05 12:53:17,42,3.5 - 10 µm,46.532,5.2188,0.0056,0.047,1.0891,1.04185,8.2626,0.8082,1.9045,0.01,0.0022,0.565,0.001,0.534,1915.32,147.5113,0.0664,3.8298,29.5929,2049.7855,0.2825,0.537,4.529,1.4965,0.1277,0.3051,38.0204,2.7271,46.0857,2.3128,0.943,62000.0,2011-11-06 06:06:37
7719333,2012-02-20 11:58:00,42,0.42 - 1.2 µm,1.021,0.0466,0.001,0.0005,0.0004,0.1333,0.0478,0.0297,0.0152,0.0023,0.0001,0.269,0.004,0.152,0.19,0.1263,0.0022,0.3514,0.0093,0.096,0.1398,0.035,0.138,0.0514,0.0033,0.0003,0.006,0.0043,0.0024,0.0263,0.003,0.0,2012-02-20 11:58:00
7044121,2010-02-20 12:22:57,42,1.2 - 3.5 µm,4.207,0.5881,0.0006,0.0003,0.1234,0.16635,0.5896,0.1019,0.5168,0.0036,0.0078,0.258,0.119,0.333,3.37,0.1271,0.0348,0.1397,2.8391,0.3596,0.5409,0.17,0.07,0.0038,0.0027,0.0082,0.0153,0.0364,0.1372,0.0003,0.12,74629.0,2010-02-21 09:06:46
653187,2011-09-05 05:53:19,42,0.14 - 0.42 µm,0.034,0.0001,0.0652,0.0004,0.0,0.0932,0.0029,0.0437,0.006,0.0012,0.0,0.027,0.034,0.038,36.24,3.6145,2.5372,0.4039,3.8007,51.083,0.0575,0.024,0.469,0.092,0.0015,0.0036,0.1597,0.0237,2.4697,0.2114,0.025,39385.0,2011-09-05 16:49:44
3894352,2011-03-09 14:01:32,42,3.5 - 10 µm,180.285,7.0608,0.0072,0.3533,0.8955,1.24737,13.0492,0.602,3.9672,0.0449,0.0021,0.515,0.178,0.965,2325.61,371.489,7.4634,7.3199,51.807,3979.5005,1.4203,4.004,3.182,5.6297,0.0041,0.0012,44.1302,14.1627,168.1402,44.7243,5.643,11902.0,2011-03-09 17:19:54
3553425,2011-12-17 15:14:25,42,0.42 - 1.2 µm,2.829,0.0521,0.0427,0.0003,0.006,0.10593,0.0261,0.0025,0.5576,0.0019,0.0006,0.164,0.054,0.133,0.49,0.0,0.0395,0.0122,0.0126,0.0069,0.0182,0.031,0.525,0.0589,0.0196,0.0001,0.1096,0.0021,0.0024,0.0009,0.003,8301.0,2011-12-17 17:32:46
91435,2010-02-23 13:28:13,42,3.5 - 10 µm,5.993,4.5133,0.0001,0.0011,0.4135,0.59085,10.8101,0.5604,0.8395,0.0019,0.0001,0.204,0.001,0.243,73.82,6.4519,0.1031,0.2306,1.663,43.1466,0.9137,0.509,0.226,0.0102,0.004,0.0541,2.5119,0.0058,0.3485,0.4034,0.041,52093.0,2010-02-24 03:56:26
12410788,2011-07-10 11:22:54,42,0.42 - 1.2 µm,0.921,0.0604,0.0003,0.0003,0.005,0.07678,0.1558,0.0528,0.0117,0.001,0.0014,0.036,0.005,0.033,24.77,14.5392,0.0352,0.1415,1.4478,8.6598,0.016,0.031,0.615,0.0056,0.0042,0.0048,0.0231,0.0356,0.0024,0.0162,0.003,31753.0,2011-07-10 20:12:07
2182394,2011-10-03 03:14:50,42,1.2 - 3.5 µm,26.333,0.9934,0.0049,0.0004,0.1347,0.17474,1.63,0.057,0.6134,0.0041,0.0016,0.237,0.138,0.462,510.97,43.0289,0.2872,0.9069,1.3798,717.3384,0.3488,0.125,1.394,0.2926,0.0035,0.0022,8.7874,1.3731,1.4761,1.4368,1.111,0.0,2011-10-03 03:14:50
15899155,2010-01-13 01:53:08,42,0.14 - 0.42 µm,0.02,0.0106,0.0005,0.0003,0.0121,0.00884,0.0153,0.0081,0.0296,0.0,0.0003,0.006,0.005,0.003,0.21,0.0006,0.0149,0.0005,0.1162,0.0412,0.0133,0.027,0.09,0.002,0.0028,0.0002,0.0005,0.001,0.0024,0.0,0.068,261180.0,2010-01-16 02:26:08
11631094,2011-03-16 11:57:22,42,3.5 - 10 µm,78.82,3.6194,0.0048,0.078,0.4276,0.41943,8.7189,0.8031,2.5142,0.0661,0.003,0.708,0.073,0.9,1511.08,75.279,0.4789,3.3821,0.8775,1070.3097,1.2248,0.086,1.615,1.122,0.0065,0.0414,30.5306,3.0056,0.0064,21.5744,0.493,22029.0,2011-03-16 18:04:31
2222846,2010-01-12 14:29:58,42,0.05 - 0.14 µm,0.021,0.0002,0.0059,0.0003,0.0,0.0395,0.0034,0.0134,0.0202,0.0006,0.0,0.018,0.02,0.04,0.38,0.0,0.0028,0.0001,0.0061,0.0003,0.01,0.025,0.644,0.002,0.0662,0.0551,0.0002,0.001,0.0024,0.0,0.003,142597.0,2010-01-14 06:06:35
9429384,2012-01-13 13:47:21,42,1.2 - 3.5 µm,4.265,0.8916,0.0915,0.0004,0.077,0.01372,0.8946,0.1218,0.2941,0.0272,0.0023,0.059,0.038,0.184,8.81,0.1759,0.7939,0.0441,13.0066,6.1521,0.0922,0.026,0.124,0.0296,0.0419,0.0077,0.1033,0.0029,0.1526,0.0511,0.107,30337.0,2012-01-13 22:12:58
1304016,2010-03-06 06:39:41,42,0.14 - 0.42 µm,2.58,0.1096,0.0006,0.0003,0.0611,0.0254,0.153,0.1771,0.0862,0.0086,0.0,0.171,0.008,0.246,367.07,2.8338,0.3103,0.4072,0.9031,300.1781,0.3967,0.723,0.981,0.8989,0.0104,0.2274,5.2928,0.0219,0.0025,0.0002,0.003,6631.0,2010-03-06 08:30:12
14566401,2012-02-11 15:32:30,42,1.2 - 3.5 µm,3.226,0.1312,0.1077,0.0234,0.0516,0.93656,0.2035,0.0734,0.5803,0.0094,0.0016,0.09,0.028,0.241,5.36,11.9331,0.5345,1.2726,14.3055,17.0379,0.522,0.038,0.168,0.1156,0.0018,0.0001,0.0769,0.7327,0.0024,0.0093,0.003,18609.0,2012-02-11 20:42:39
7450953,2011-12-29 08:51:18,42,3.5 - 10 µm,70.76,0.9932,0.011,0.05,0.1493,0.50229,1.2078,0.3305,1.7093,0.0221,0.0006,0.267,0.087,0.145,642.03,56.3557,1.5532,2.8131,11.9491,1305.3349,1.9576,0.317,1.275,3.2463,0.0125,0.1581,16.6005,3.4145,4.6639,12.4549,1.1,0.0,2011-12-29 08:51:18
16022571,2011-11-27 03:57:40,42,3.5 - 10 µm,4.375,1.7196,0.0091,0.088,0.0452,0.2783,2.6657,0.592,0.3339,0.0108,0.0004,0.061,0.008,0.285,1040.6,46.2081,0.4014,1.3992,10.7504,889.3284,3.0608,3.293,0.9,1.7888,0.0048,0.3934,9.407,0.5736,5.4301,0.4545,0.118,0.0,2011-11-27 03:57:40
13913751,2012-02-20 11:58:00,42,1.2 - 3.5 µm,31.655,0.3406,0.0208,0.0391,0.0477,0.99626,0.3346,0.0823,0.6735,0.0252,0.0041,0.896,0.471,1.305,2881.06,256.8874,7.9478,5.3715,24.2251,3045.17,0.3517,0.051,4.474,5.0612,0.0015,0.1277,27.9049,4.6532,26.9377,0.1309,1.562,0.0,2012-02-20 11:58:00
3795514,2010-05-28 18:58:07,42,3.5 - 10 µm,51.982,8.9495,0.0001,0.1237,0.4046,0.26209,16.3895,0.7335,0.5551,0.0024,0.0019,0.199,0.083,0.183,997.64,98.2846,0.2455,1.7154,1.5739,869.8837,0.0112,0.041,1.053,0.1295,0.0015,0.0226,11.3265,0.6714,46.7018,0.5156,0.675,107457.0,2010-05-30 00:49:04
4855223,2010-01-11 16:30:16,42,0.42 - 1.2 µm,7.751,0.2054,0.0104,0.0003,0.0167,0.10324,0.4843,0.0599,0.2744,0.0015,0.0001,0.078,0.023,0.074,43.41,0.2824,0.2826,0.107,0.0679,13.7664,0.0333,0.25,1.169,0.0177,0.0032,0.0013,0.4116,0.0117,0.5195,0.1615,0.067,238512.0,2010-01-14 10:45:28
7627420,2010-02-08 02:24:30,42,3.5 - 10 µm,9.134,0.2604,0.0169,0.0014,0.0188,0.09987,0.3055,0.0948,0.2096,0.0061,0.0003,0.321,0.038,0.592,16.63,1.5735,0.3426,0.9686,0.3869,3.208,0.2018,0.972,0.765,0.0212,0.0407,0.0131,0.2361,0.7789,6.2107,0.0115,0.126,169721.0,2010-02-10 01:33:11
14436104,2011-06-13 22:06:30,42,0.42 - 1.2 µm,14.908,0.9594,0.0398,0.0378,0.3004,0.54274,1.5722,0.1018,0.6456,0.008,0.0007,0.286,0.228,0.422,1472.94,90.0772,2.2351,2.7183,0.833,1623.2546,1.0373,0.405,2.09,2.7724,0.0429,0.0272,21.4766,1.3931,0.0024,3.347,0.055,0.0,2011-06-13 22:06:30
13620381,2012-02-20 11:58:00,42,0.42 - 1.2 µm,5.478,0.0134,0.019,0.0003,0.0259,0.47977,0.0627,0.1429,0.0934,0.0063,0.0005,0.157,0.1,0.157,102.51,14.1652,0.1185,0.4383,11.6531,56.362,0.2412,0.052,0.553,0.0951,0.0033,0.001,0.1368,0.4879,0.0141,0.093,0.01,29360.0,2012-02-20 20:07:20
1062118,2010-05-25 05:56:20,42,0.05 - 0.14 µm,0.896,0.0386,0.0005,0.0003,0.0031,0.0199,0.0675,0.009,0.0451,0.003,0.0004,0.061,0.002,0.078,0.67,0.0019,0.0018,0.0999,0.006,0.0689,0.0296,0.332,0.105,0.0326,0.0225,0.0134,0.0473,0.0017,0.0024,0.0005,0.003,0.0,2010-05-25 05:56:20
5732412,2011-06-25 23:44:52,42,3.5 - 10 µm,78.886,6.5912,0.0013,0.3026,0.5858,0.36881,12.6431,0.8358,1.4522,0.0198,0.0102,0.664,0.013,0.732,569.59,84.7328,0.8861,1.2598,47.8636,307.6743,0.5278,0.118,0.18,0.1689,0.0017,0.0077,7.2347,2.148,7.2991,2.9897,2.096,0.0,2011-06-25 23:44:52
8436029,2011-08-26 04:30:51,42,0.42 - 1.2 µm,5.777,0.0216,0.0155,0.0003,0.0055,0.0367,0.0113,0.0084,0.124,0.0018,0.0,0.339,0.057,0.36,46.99,2.6685,0.0569,0.1183,1.3554,12.019,0.2785,0.734,0.531,0.052,0.0016,0.0219,0.2115,0.0291,0.0024,0.0053,0.004,0.0,2011-08-26 04:30:51
14071073,2011-01-10 02:08:22,42,0.14 - 0.42 µm,18.507,0.0132,0.0332,0.0004,0.0171,0.31599,0.0145,0.0766,0.8394,0.0333,0.0,0.836,0.257,0.759,997.44,72.8921,2.1684,3.6601,0.3619,985.2497,0.4506,0.058,3.946,1.4722,0.0015,0.0002,10.6874,4.3292,14.8156,0.9047,0.146,55907.0,2011-01-10 17:40:09
8259918,2011-11-06 22:11:27,42,1.2 - 3.5 µm,18.727,0.285,0.0021,0.0069,0.0718,0.51291,0.369,0.2425,0.6338,0.0086,0.0001,0.059,0.075,0.066,317.44,15.6675,0.1797,0.1559,3.8222,209.3857,0.2217,0.104,1.814,0.5777,0.0282,0.0523,3.2889,0.3047,0.0098,0.3262,0.428,26724.0,2011-11-07 05:36:51
767209,2010-01-21 17:03:53,42,0.14 - 0.42 µm,2.891,0.1771,0.0006,0.0003,0.129,0.09059,0.4696,0.0589,0.0775,0.0003,0.0004,0.255,0.035,0.293,2.44,0.006,0.0454,0.0148,0.0084,0.0597,0.0789,0.025,0.044,0.0029,0.0701,0.0147,0.0091,0.0016,0.0024,0.0013,0.276,57806.0,2010-01-22 09:07:19
12387190,2011-08-20 02:31:16,42,1.2 - 3.5 µm,46.262,0.7016,0.0086,0.0094,0.0485,0.81984,1.0177,0.6925,0.7738,0.0281,0.0001,0.153,0.126,0.231,1395.22,246.7171,4.2279,3.4541,11.3679,2955.6965,0.5978,0.39,3.012,2.8427,0.0173,0.1245,22.8384,5.6917,0.18,7.7031,1.395,111716.0,2011-08-21 09:33:12
11210678,2011-01-02 19:04:48,42,0.42 - 1.2 µm,15.383,0.0932,0.023,0.0006,0.0126,0.11087,0.113,0.0231,0.6355,0.0028,0.0001,0.139,0.023,0.171,938.76,48.6784,2.5543,3.5597,1.8472,862.0055,0.6016,0.048,1.482,1.0006,0.0612,0.0111,12.4847,1.3987,47.7328,2.9842,1.422,95949.0,2011-01-03 21:43:57
9625133,2010-02-28 21:30:43,42,0.14 - 0.42 µm,0.109,0.0216,0.0033,0.0003,0.0009,0.01067,0.1203,0.0131,0.0262,0.0011,0.0008,0.03,0.003,0.04,4.23,0.0118,0.0155,0.0205,0.0677,0.1204,0.016,0.047,0.566,0.0265,0.0515,0.045,0.0454,0.0023,0.0027,0.001,0.006,124019.0,2010-03-02 07:57:42
11680202,2011-07-02 00:59:24,42,3.5 - 10 µm,29.412,1.2553,0.0019,0.0018,0.1505,0.95606,2.3251,0.3965,0.4562,0.0054,0.0,0.59,0.026,0.524,418.12,53.7393,0.0083,0.4114,11.3345,349.797,0.047,0.102,1.48,0.2448,0.0516,0.0134,4.4821,1.1747,0.0182,1.2832,0.003,77641.0,2011-07-02 22:33:25
8072111,2012-02-12 05:52:56,42,0.14 - 0.42 µm,7.303,0.0005,0.0431,0.0003,0.0056,0.27732,0.0029,0.0026,0.2696,0.0248,0.0001,0.458,0.191,0.552,9.45,1.2838,1.6341,0.0115,3.2986,18.7294,0.9379,0.033,0.349,0.4384,0.0017,0.0094,0.1483,0.0325,0.0024,0.904,0.003,0.0,2012-02-12 05:52:56
878400,2011-10-08 20:36:32,42,0.42 - 1.2 µm,15.189,0.3935,0.0034,0.0428,0.1074,1.34062,0.7307,0.2014,0.6469,0.0137,0.0009,0.467,0.12,0.586,412.08,3.3275,0.1272,0.8285,0.8747,206.2101,0.0231,0.064,1.386,0.1568,0.0455,0.033,4.2844,0.3493,0.7205,1.424,0.034,0.0,2011-10-08 20:36:32
4884758,2010-10-03 03:34:28,42,3.5 - 10 µm,132.282,6.4229,0.0014,0.1935,0.656,0.92186,12.8955,1.1832,2.9342,0.0642,0.0026,1.151,0.035,1.547,1271.92,207.3177,1.2327,4.2572,87.1011,1358.2177,2.3655,5.721,2.157,0.5077,0.2106,0.1021,26.455,5.1518,332.922,23.972,6.887,0.0,2010-10-03 03:34:28
12899517,2011-07-12 04:46:47,42,0.05 - 0.14 µm,0.242,0.0222,0.0118,0.0011,0.0105,0.61781,0.0613,0.0007,0.2526,0.0025,0.0003,0.11,0.031,0.161,0.09,0.0012,0.0022,0.0087,0.0087,0.0024,0.0119,0.026,0.064,0.006,0.0108,0.0001,0.001,0.001,0.0024,0.0,0.003,73324.0,2011-07-13 01:08:51
2544121,2010-01-29 05:18:11,42,0.14 - 0.42 µm,0.253,0.3868,0.0008,0.0003,0.0535,0.29741,1.2403,0.0268,0.1615,0.0,0.0018,0.067,0.011,0.029,2.41,0.0,0.0018,0.0085,0.2738,0.0001,0.0133,0.032,0.074,0.002,0.1141,0.0,0.0002,0.001,0.2049,0.0,0.003,113565.0,2010-01-30 12:50:56
13342650,2012-02-12 09:19:18,42,0.05 - 0.14 µm,0.55,0.0211,0.0252,0.0017,0.0012,0.58811,0.028,0.0187,0.2551,0.0037,0.0001,0.133,0.027,0.293,69.69,14.3316,0.0171,1.1718,1.0336,65.8355,0.0932,0.251,0.901,0.3561,0.0289,0.0011,0.2919,0.0964,0.0077,1.0295,0.034,0.0,2012-02-12 09:19:18
8568383,2011-07-28 20:24:08,42,1.2 - 3.5 µm,23.648,2.2525,0.041,0.0394,0.2077,0.85738,3.2314,0.6068,1.3179,0.0188,0.0005,0.901,0.022,1.075,2044.5,213.7188,5.5221,4.9413,28.5369,2781.0703,3.0357,2.111,7.089,4.8547,0.0016,0.4687,34.4034,5.0313,131.1194,4.6129,0.464,0.0,2011-07-28 20:24:08
16709175,2012-01-30 05:36:27,42,1.2 - 3.5 µm,0.348,0.04,0.0151,0.0003,0.0011,0.18104,0.0414,0.0309,0.1863,0.0083,0.001,0.206,0.004,0.208,81.47,8.0575,0.0159,0.2858,1.5965,6.27,0.2521,0.11,0.641,0.012,0.0015,0.0037,0.3383,0.026,0.2176,0.0375,0.048,0.0,2012-01-30 05:36:27
2515980,2010-01-11 18:02:57,42,3.5 - 10 µm,80.005,6.1704,0.0009,0.0377,0.5152,0.36332,12.2651,0.2263,1.7466,0.0267,0.0018,0.195,0.511,0.302,877.95,10.3401,1.1953,0.4646,1.7728,337.7776,0.3254,0.087,1.783,0.1639,0.2293,0.1286,12.1689,1.7712,5.8074,1.9693,0.478,207089.0,2010-01-14 03:34:26
10477354,2011-12-11 13:09:14,42,3.5 - 10 µm,39.218,4.5096,0.0035,0.0011,0.2248,0.97629,9.1865,0.4494,1.4146,0.0258,0.0059,0.559,0.134,0.51,2175.48,149.4111,0.7357,1.6017,33.5992,2683.182,0.5248,0.302,5.078,1.9863,0.0015,0.0798,24.2783,3.6529,2.2097,2.6349,0.054,12646.0,2011-12-11 16:40:00
5285550,2012-02-16 13:46:56,42,1.2 - 3.5 µm,2.403,0.0029,0.0188,0.0003,0.0009,0.05788,0.0057,0.1148,0.0583,0.0097,0.0004,0.236,0.145,0.403,540.75,82.5226,1.3308,1.0739,10.6318,652.4506,0.4003,0.43,1.533,0.237,0.0158,0.0321,2.7707,0.8218,53.8843,1.6141,0.225,0.0,2012-02-16 13:46:56
16248121,2011-06-16 04:33:23,42,1.2 - 3.5 µm,4.323,0.122,0.0239,0.0276,0.0841,0.13507,0.1587,0.1385,0.4676,0.0269,0.0009,0.086,0.126,0.093,23.22,0.1806,0.0025,0.2557,0.0276,0.8727,0.0239,0.062,0.648,0.1445,0.1063,0.1181,0.2126,0.0034,0.0024,0.0,0.003,121847.0,2011-06-17 14:24:10
2705359,2010-02-18 17:45:01,42,0.05 - 0.14 µm,0.103,0.2672,0.0045,0.0003,0.0004,0.0032,0.6205,0.0148,0.2107,0.0017,0.0004,0.151,0.001,0.063,143.54,0.8294,0.3882,0.7425,0.006,14.9852,0.0331,0.779,4.234,0.7597,0.0025,0.0254,1.1338,0.0142,0.0024,0.9617,0.003,67385.0,2010-02-19 12:28:06
14006645,2010-01-13 21:53:25,42,1.2 - 3.5 µm,2.435,4.2743,0.0023,0.0046,0.5975,0.17112,7.7333,0.1663,1.2643,0.0015,0.0065,0.055,0.059,0.054,0.74,0.0008,0.038,0.0037,1.2677,0.0121,0.1777,0.035,0.066,0.0052,0.0452,0.0219,0.0551,0.0011,0.0288,0.0,0.025,149884.0,2010-01-15 15:31:29
11698881,2011-05-05 02:37:56,42,0.14 - 0.42 µm,0.283,0.1495,0.0007,0.0003,0.008,0.01899,0.331,0.0769,0.2012,0.0085,0.0009,0.049,0.027,0.032,40.38,0.0798,0.2288,0.0233,0.5643,5.0611,0.209,0.024,0.117,0.1213,0.0016,0.0517,0.0973,0.0039,0.0027,0.0143,0.005,0.0,2011-05-05 02:37:56
15176932,2010-01-13 00:29:06,42,0.14 - 0.42 µm,3.932,0.6186,0.0046,0.0003,0.0956,0.09024,1.3707,0.0749,0.2329,0.0012,0.0008,0.17,0.027,0.123,15.05,0.9879,0.0206,0.0824,0.0287,0.7734,0.1873,0.061,0.151,0.0032,0.0144,0.0023,0.1409,0.0037,0.0024,0.0001,0.003,179564.0,2010-01-15 02:21:50
12534772,2011-09-26 09:28:03,42,0.14 - 0.42 µm,2.215,0.1113,0.0029,0.0027,0.0643,0.12249,0.1578,0.0477,0.0902,0.0061,0.0006,0.037,0.137,0.081,24.16,4.3382,0.0475,0.1131,1.4792,29.1202,0.0723,0.038,0.387,0.0321,0.3803,0.0349,0.486,0.1435,0.0878,1.2235,0.015,75345.0,2011-09-27 06:23:48
16063646,2011-10-15 08:07:20,42,1.2 - 3.5 µm,104.747,0.9862,0.0193,0.0158,0.0828,0.59866,1.8184,0.7234,1.3503,0.0179,0.0006,1.185,0.018,1.721,1756.7,301.0807,4.1704,4.8813,87.3194,3984.6166,2.8304,3.886,2.087,4.0623,0.0226,0.0977,31.0987,10.5405,124.4267,32.1791,4.929,0.0,2011-10-15 08:07:20
9213111,2012-02-20 11:58:00,42,0.05 - 0.14 µm,12.472,0.1735,0.0195,0.0282,0.0682,1.27252,0.2072,0.1495,1.4267,0.0256,0.0006,0.618,0.004,0.767,892.29,43.2308,2.6703,2.2647,65.8715,1015.6741,2.7665,1.942,2.973,4.0603,0.0268,0.1034,9.4075,4.6783,0.661,3.2167,0.054,0.0,2012-02-20 11:58:00
8541466,2011-09-24 03:24:41,42,0.42 - 1.2 µm,65.943,1.3004,0.01,0.0008,0.2682,1.14814,2.4911,0.8998,2.0185,0.0265,0.0011,0.286,0.05,0.393,1216.78,153.7717,4.4307,2.7138,20.2428,1402.4205,3.0068,1.412,2.652,2.4835,0.0078,0.185,23.145,3.0988,16.8351,5.6225,3.333,22045.0,2011-09-24 09:32:06
85235,2010-01-21 14:13:07,42,0.14 - 0.42 µm,26.411,1.5292,0.0007,0.0008,0.169,0.30767,2.8165,0.2711,1.5769,0.0153,0.0006,0.393,0.009,0.357,758.03,72.4684,3.8657,1.7008,21.4996,766.6706,2.3305,0.742,1.27,0.6609,0.0015,0.1662,13.065,0.8624,0.2555,2.8596,2.108,53632.0,2010-01-22 05:06:59
7120793,2011-11-30 01:00:25,42,0.05 - 0.14 µm,0.204,0.0,0.0316,0.0003,0.0,0.02364,0.0028,0.0087,0.0055,0.0011,0.0,0.182,0.005,0.13,0.74,4.6172,0.5682,0.5375,0.14,1.5653,0.1076,0.031,0.599,0.116,0.0122,0.0011,0.0013,0.0096,0.0063,0.0165,0.007,24995.0,2011-11-30 07:57:00
16048428,2010-07-02 19:31:15,42,1.2 - 3.5 µm,18.621,3.4903,0.0093,0.0553,1.0307,0.15972,4.6962,0.3472,1.1658,0.0015,0.0026,0.102,0.037,0.195,325.55,20.9998,1.673,1.1722,27.9737,693.177,0.7036,0.313,0.786,1.7546,0.2117,0.1377,15.0935,0.5533,198.4154,3.2122,3.103,0.0,2010-07-02 19:31:15
11895194,2010-10-19 15:36:50,42,0.42 - 1.2 µm,19.763,0.5353,0.0034,0.0091,0.1062,0.34456,0.783,0.2519,0.3049,0.02,0.0011,0.314,0.022,0.447,172.33,2.9774,0.5073,0.2062,2.5325,105.5983,0.4948,0.436,1.835,0.5093,0.0024,0.123,4.0622,0.1903,18.7888,0.2872,0.534,112901.0,2010-10-20 22:58:31
10386567,2010-03-03 18:01:40,42,3.5 - 10 µm,3.212,2.0827,0.0001,0.0004,0.0515,0.02341,3.6257,0.2814,0.1484,0.0047,0.0018,0.156,0.062,0.137,0.53,0.194,0.3993,0.2457,0.0454,0.0203,0.0115,0.024,0.157,0.0049,0.0913,0.0099,0.0199,0.0237,0.1707,2.0835,0.124,63711.0,2010-03-04 11:43:31
