,Unnamed: 0.1,Unnamed: 0,No,Date/Time,Date/time end,Altitude [m],Size fraction,Mass v [µg/m**3],Na+ [µg/m**3],[NH4]+ [µg/m**3],K+ [µg/m**3],Mg2+ [µg/m**3],Ca2+ [µg/m**3],Cl- [µg/m**3],[NO3]- [µg/m**3],[SO4]2- [µg/m**3],[C2O4]2- [µg/m**3],Br- [µg/m**3],C org [µg/m**3],EC [µg/m**3],TC [µg/m**3],Ca [ng/m**3],Ti [ng/m**3],V [ng/m**3],Cr [ng/m**3],Mn [ng/m**3],Fe [ng/m**3],Ni [ng/m**3],Cu [ng/m**3],Zn [ng/m**3],Pb [ng/m**3],As [ng/m**3],Se [ng/m**3],Sr [ng/m**3],Rb [ng/m**3],Ba [ng/m**3],La [ng/m**3],Ce [ng/m**3]
157,2092927,0,1543,2010-01-13 05:05:43,2011-04-15 02:58:08,42,0.42 - 1.2 µm,3.743,0.0894,0.0533,0.0027,0.0042,0.00312,0.0055,0.0213,0.5662,0.001,0.0,0.268,0.002,0.065,3.24,0.0624,1.4372,1.9294,7.8652,2.3477,0.2024,0.091,1.573,0.0045,0.0015,0.001,0.0028,0.002,0.1227,0.0006,0.006
158,16675478,141,1296,2010-01-13 07:18:08,2010-01-13 08:18:08,42,0.42 - 1.2 µm,2.16,0.0085,0.0,0.0007,0.0196,0.00497,0.0865,0.0143,1.0488,0.0006,0.0001,0.778,0.897,0.064,81.53,0.7563,0.0167,0.3315,3.3216,2.6925,0.3435,0.245,0.27,0.0959,0.0095,0.0029,4.641,0.0014,73.0146,1.3351,0.229
159,10254037,22,1530,2010-01-12 08:09:48,2010-01-12 17:16:00,42,1.2 - 3.5 µm,13.011,0.0103,0.0075,0.0042,0.095,0.0027,0.264,0.001,0.7739,0.0,0.0002,0.4,0.004,0.882,66.89,0.0245,1.3551,7.6058,1.576,7.8183,0.4666,0.037,1.054,0.3127,0.1656,0.0094,2.4663,0.0027,0.0024,0.0352,0.005
160,11337036,23,910,2010-01-16 00:03:29,2011-10-14 20:04:29,42,0.14 - 0.42 µm,0.465,0.0192,0.0058,0.0323,0.0039,0.01838,0.3659,0.0596,0.8064,0.0463,0.0002,0.059,0.004,0.434,11.93,0.4048,0.0056,0.5499,0.006,55.9826,0.2562,0.024,0.941,0.0116,0.0018,0.0513,22.4372,2.6272,2.6834,0.0011,0.003
161,11577326,2,1246,2012-01-22 06:26:49,2012-01-22 07:26:49,42,0.14 - 0.42 µm,2.39,0.0442,0.0484,0.015,0.1901,0.01355,3.8499,0.0022,2.3732,0.0228,0.0002,0.13,0.004,0.111,4.7,223.1996,0.46,0.4029,1.6407,46.7358,0.21,0.223,1.973,0.0179,0.0036,0.0175,1.5203,0.0021,27.6239,0.0403,0.275
162,4690554,162,1546,2011-01-31 18:42:52,2011-01-31 19:42:52,42,3.5 - 10 µm,0.059,0.0054,0.014,0.2123,0.2395,0.23443,0.7847,0.0156,0.6782,0.0417,0.0001,0.732,0.217,0.169,344.57,55.4576,0.0421,0.3569,2.3505,1262.8532,0.0153,0.125,0.487,0.0189,0.0038,0.2805,0.5131,0.0534,0.0024,0.0028,0.103
163,10958380,463,1532,2010-12-04 20:33:52,2010-12-04 21:33:52,42,3.5 - 10 µm,4.267,8.6826,0.0447,0.1018,0.0345,0.05096,0.0056,0.1477,0.0249,0.0001,0.009,0.231,0.004,0.063,26.45,372.4704,1.967,8.9284,0.0436,0.9163,0.0197,0.24,0.354,0.009,0.0473,0.0263,0.0013,0.0071,0.091,0.0008,1.085
164,9467634,125,1064,2011-06-09 21:33:25,2011-06-09 22:33:25,42,0.14 - 0.42 µm,10.054,0.1241,0.0915,0.0915,0.0402,0.00443,0.4394,0.4585,0.6781,0.0015,0.0001,1.88,0.21,0.097,34.97,0.3054,0.5504,0.4462,44.6995,851.5673,0.2306,0.068,1.156,0.007,0.0705,0.0136,0.191,0.004,0.2254,1.31,0.255
165,2507642,39,947,2012-02-08 13:54:04,2012-02-08 14:54:04,42,0.42 - 1.2 µm,4.457,0.4705,0.0007,0.0006,0.0002,0.13654,0.1993,0.0015,4.1775,0.0011,0.0001,3.55,0.096,0.311,6.55,0.2814,0.5501,0.6643,1.628,329.6741,14.452,0.045,7.728,0.7378,0.0015,0.0197,33.8264,43.3032,4.0836,0.3183,0.003
166,9937239,343,1205,2012-01-17 23:40:42,2012-01-18 00:40:42,42,3.5 - 10 µm,91.164,0.0023,0.0036,0.0053,0.0834,0.00869,0.1817,0.0112,0.9798,0.0001,0.0001,0.24,0.283,0.999,1741.34,0.044,0.1954,4.3752,0.006,194.6723,7.4099,0.03,1.065,0.0035,0.3743,0.0258,0.0443,0.0046,0.0024,0.0008,0.018
167,2656725,4,1341,2010-11-05 21:54:21,2012-02-15 03:59:02,42,3.5 - 10 µm,3.091,0.001,0.042,0.0095,0.012,0.00412,16.4229,1.1984,0.2633,0.0047,0.0029,0.503,0.005,0.376,1805.86,159.4871,23.8063,0.1633,0.102,12.4699,0.4315,1.253,1.75,0.0025,0.0042,0.0033,0.0117,0.2862,1.1005,0.0017,0.003
168,9348792,6,1280,2010-01-18 11:36:26,2011-12-01 12:25:32,42,0.05 - 0.14 µm,136.444,3.21,0.2492,0.0092,0.0008,0.00272,5.0215,0.0077,0.2799,0.0005,0.0002,0.348,0.001,0.069,903.29,14.6563,0.796,1.0842,282.025,198.8051,0.4176,0.624,0.278,0.0053,0.0047,0.0007,0.15,0.0252,307.0363,0.0059,0.003
169,9851350,270,1472,2010-12-21 15:26:43,2010-12-21 16:26:43,42,0.05 - 0.14 µm,130.831,0.0,0.0133,0.001,0.0013,0.04674,0.0171,0.1975,0.1393,0.0,0.0006,1.424,0.002,0.135,2.57,1.7184,0.0048,1.4852,0.3356,218.05,0.0656,0.024,0.657,0.0407,0.0018,0.0075,0.0604,5.4443,0.0024,0.0014,0.217
170,3284143,419,1153,2010-01-13 01:51:31,2010-02-02 04:04:28,42,0.14 - 0.42 µm,51.263,0.6202,0.0004,0.0029,0.5381,0.00331,0.0112,0.3265,0.6383,0.0001,0.0002,0.255,0.001,0.703,636.38,19.5156,0.0158,0.0826,0.0068,582.2542,0.01,0.181,2.269,0.0564,0.0015,0.0002,0.0233,0.5883,332.922,8.0755,0.003
171,3022412,13,1514,2010-01-16 22:08:50,2010-12-08 18:52:16,42,3.5 - 10 µm,81.891,0.0006,0.0194,0.0003,0.0018,0.05709,11.2509,0.5159,0.0951,0.0007,0.0002,2.227,0.013,0.473,25.61,1.7142,1.3751,11.3745,8.4447,137.9817,0.1476,0.024,0.521,0.0256,0.0023,0.0178,0.0266,0.0017,6.8795,6.3659,0.003
172,4269335,207,1082,2010-01-13 05:04:35,2010-01-13 06:04:35,42,0.14 - 0.42 µm,42.317,1.3582,0.007,0.0699,0.0271,0.0027,3.6201,0.465,0.3047,0.0001,0.0002,0.672,0.447,0.358,940.6,0.4598,0.0018,2.081,19.0354,0.0296,0.1305,0.028,0.789,0.0364,0.0488,0.0045,0.0209,32.9755,16.4481,0.001,0.003
173,10252191,24,1340,2012-02-17 14:18:59,2012-02-17 15:18:59,42,0.42 - 1.2 µm,15.175,0.0,0.0025,0.0003,0.0127,0.99247,0.0284,0.0051,2.3632,0.051,0.0002,0.246,0.001,0.656,10.27,3.1568,0.336,7.1985,0.7552,7.2913,0.8824,0.026,0.749,0.2255,0.0015,0.0002,0.049,0.0033,83.2313,0.0009,10.302
174,8413029,305,1257,2010-01-23 01:52:13,2010-01-23 02:52:13,42,0.42 - 1.2 µm,6.984,0.0,0.0184,0.0091,0.0223,0.0027,6.9713,0.0217,0.0708,0.0178,0.0302,0.276,0.002,0.258,136.41,4.8922,0.3618,0.3453,0.006,23.5065,0.01,0.051,1.385,0.0035,0.0475,0.0443,0.0009,3.5882,2.961,0.0171,0.003
175,6989080,9,1553,2010-02-26 22:11:45,2010-02-26 23:11:45,42,1.2 - 3.5 µm,0.771,2.787,0.0002,0.1175,0.2508,0.00503,0.0119,0.002,1.0322,0.0002,0.0002,0.794,0.112,0.533,408.83,53.6029,0.0475,0.0429,5.6541,225.5411,0.1447,0.042,2.582,0.0043,0.0015,0.2699,0.0126,0.004,109.8821,0.0005,0.003
176,15498824,121,1271,2010-01-27 13:16:55,2010-01-27 14:16:55,42,0.14 - 0.42 µm,70.592,0.0001,0.0717,0.0005,0.0194,0.08205,0.8992,0.0038,0.1833,0.0016,0.0001,0.047,0.126,0.26,27.95,0.0431,1.1497,0.4499,0.006,26.6788,0.01,0.041,0.745,0.0024,0.0072,0.0548,0.0686,0.1115,1.0467,0.0039,2.13
177,13682511,4,1358,2011-01-04 06:38:37,2011-01-04 07:38:37,42,0.14 - 0.42 µm,42.304,0.0558,0.0003,0.015,0.0324,0.35878,6.245,0.0786,0.7979,0.0001,0.0003,0.161,0.006,0.273,5.23,0.933,10.6041,0.0803,0.006,0.1203,0.0654,0.028,1.892,0.0053,0.0643,0.0011,0.0034,0.0056,0.0024,0.0021,0.08
178,1758329,44,1263,2011-11-15 12:40:45,2011-11-15 13:40:45,42,0.14 - 0.42 µm,20.688,0.0001,0.0029,0.0072,0.0102,0.00682,0.0262,0.0036,0.4169,0.0021,0.0002,0.916,0.003,0.079,148.99,0.0482,0.086,1.2496,0.1699,193.4997,0.6848,0.029,1.802,0.0027,0.089,0.0272,0.0172,16.197,2.0806,0.001,0.188
179,4255585,8,1530,2010-02-01 02:50:50,2011-10-25 14:30:12,42,1.2 - 3.5 µm,1.177,0.7269,0.0031,0.0434,0.0102,0.05226,0.0185,0.0917,0.119,0.0001,0.0002,0.807,0.07,0.099,25.88,1.0562,18.9748,0.0848,20.415,43.4042,0.1504,0.036,0.829,0.002,0.0021,0.0169,1.1619,0.003,0.028,0.0017,0.181
180,11014580,11,976,2010-01-20 18:58:28,2010-11-16 05:36:31,42,0.05 - 0.14 µm,113.673,0.1307,0.292,0.0032,0.1481,0.01686,0.8551,0.3778,0.7487,0.0315,0.0001,0.196,0.003,3.741,47.37,13.8761,1.5679,0.8716,1.5849,0.5888,0.01,0.201,1.295,0.2304,0.3975,0.0249,0.0124,0.2663,0.0824,7.0349,0.003
181,1936325,104,1083,2010-03-31 01:55:22,2010-03-31 02:55:22,42,1.2 - 3.5 µm,12.95,0.1543,0.0058,0.0189,0.0056,0.12435,1.1382,0.5357,0.2428,0.0003,0.0002,1.08,0.012,0.0,0.28,0.5089,0.0018,0.0132,0.0518,0.5115,0.4298,0.027,1.128,0.0039,0.0667,0.0273,0.458,47.495,38.9972,0.0072,0.003
182,10841561,2,1544,2010-01-15 18:19:28,2010-01-15 19:19:28,42,1.2 - 3.5 µm,10.936,0.0082,0.0083,0.0003,0.0296,0.03423,9.8265,0.0453,0.6151,0.011,0.0016,1.005,0.003,0.487,768.04,0.2881,0.1779,0.4364,0.0554,5.1283,0.0263,0.15,0.211,0.0033,0.0015,0.0876,0.0785,0.0058,8.4568,0.0004,0.003
183,2736526,0,1490,2010-01-15 01:38:16,2010-01-15 02:38:16,42,3.5 - 10 µm,33.499,0.0118,0.0236,0.0003,0.0291,0.0027,1.6739,0.8782,0.1914,0.0334,0.0001,2.794,0.001,0.033,29.4,21.597,0.002,1.2155,3.5437,19.5208,2.5974,1.647,1.759,0.0026,0.0445,0.0019,5.0434,1.2709,1.0233,0.0008,0.003
184,11340326,0,1496,2010-01-12 13:19:30,2010-01-12 17:16:00,42,0.05 - 0.14 µm,0.61,0.292,0.0376,0.098,0.0027,0.05616,0.0116,0.0215,0.1234,0.0068,0.0006,1.402,0.003,0.001,11763.96,8.0127,0.195,0.1169,0.006,13.903,0.0103,0.055,0.365,0.0175,0.0015,0.0011,0.512,9.0748,0.0024,0.0023,0.017
185,14048983,271,990,2012-02-13 06:19:25,2012-02-13 07:19:25,42,0.05 - 0.14 µm,0.041,2.1766,0.0007,0.0003,0.0959,0.03194,0.0417,0.5375,0.1735,0.0009,0.0001,0.339,0.002,0.326,3.21,0.1948,1.3859,0.3055,73.045,186.3532,0.0498,0.024,0.701,0.0839,0.0019,0.0187,0.0289,13.4413,0.0024,0.0014,0.003
186,1574913,156,1546,2010-01-20 16:18:33,2010-11-09 13:08:56,42,1.2 - 3.5 µm,76.894,0.0093,0.0371,0.0009,0.0001,0.0027,0.0536,0.0101,0.2577,0.061,0.0127,2.478,0.766,0.142,10.56,0.9841,3.4964,4.9073,11.2095,2.9489,0.0892,0.136,1.502,0.0036,0.0017,0.0428,0.3008,0.1661,1.2814,0.0014,1.645
187,16070728,48,1192,2011-02-02 08:29:00,2011-02-02 09:29:00,42,0.14 - 0.42 µm,0.088,0.0023,0.0008,0.01,0.0027,1.05273,0.0033,0.0116,0.3866,0.0209,0.0001,0.25,0.002,0.106,406.18,0.0018,0.9629,0.4945,0.006,9.2344,0.01,0.049,1.158,0.0123,0.0772,0.0008,0.0072,2.1536,48.0231,0.0007,0.003
188,7190303,2,1553,2012-01-25 07:03:03,2012-01-25 08:03:03,42,3.5 - 10 µm,7.286,0.0001,0.1663,0.0249,0.0594,0.04341,2.3554,0.3624,0.2733,0.021,0.059,0.932,0.004,0.6,29.48,178.9462,0.1294,1.2424,0.0532,1.4956,0.3459,0.067,0.671,0.0027,0.0023,0.004,0.3404,0.0749,0.6058,0.001,0.916
189,1296456,46,1530,2010-01-19 18:39:43,2010-01-19 19:39:43,42,3.5 - 10 µm,39.722,1.6681,0.0025,0.0003,1.6546,0.084,0.0107,0.0426,0.1875,0.0002,0.0002,1.051,0.05,0.08,4.87,0.1929,0.0019,0.0785,0.006,1.4601,0.015,0.031,0.403,0.0074,0.0174,0.0174,0.0423,0.0059,0.0024,0.0032,0.003
190,644918,2,1501,2010-12-13 00:58:37,2010-12-13 01:58:37,42,0.14 - 0.42 µm,38.67,0.0025,0.0008,0.0661,0.0077,0.00353,7.9268,0.1427,1.2089,0.0251,0.0001,0.802,0.001,0.045,1608.98,199.3202,0.1014,0.6093,0.3207,128.4849,0.0591,0.042,0.47,0.0042,0.0025,0.0184,0.0209,19.0951,15.8429,0.0014,0.007
191,5085436,2,1270,2010-01-14 12:14:03,2012-01-06 00:04:14,42,0.05 - 0.14 µm,0.987,0.0082,0.0004,0.0231,0.0114,0.01178,0.0124,0.0171,1.819,0.0301,0.0002,0.176,0.005,0.122,2800.14,145.2892,0.019,0.0439,0.5086,15.7315,0.01,0.031,0.743,0.002,0.0033,0.0061,0.0749,0.0026,0.0024,0.8973,0.003
192,4738428,31,1247,2012-01-27 12:38:49,2012-01-27 13:38:49,42,0.42 - 1.2 µm,14.091,0.0001,0.039,0.0223,0.0019,0.54684,0.0739,0.0268,0.4133,0.0036,0.0002,0.71,0.003,2.445,23.26,4.1339,0.1152,0.179,16.3794,22.909,0.2869,0.174,0.435,0.0037,0.0017,0.0019,0.1135,0.1741,0.2393,0.1694,0.003
193,15950794,6,1377,2010-04-06 18:34:00,2010-04-06 19:34:00,42,0.05 - 0.14 µm,0.318,0.0744,0.284,0.0146,0.032,0.0027,7.977,0.1252,0.5026,0.0724,0.0055,0.229,0.001,0.096,8.89,0.5335,0.8539,0.6654,26.3507,228.8704,0.7649,0.038,0.566,0.0043,0.1592,0.0008,9.5437,2.5839,0.0024,0.0022,2.82
194,14751366,74,1513,2010-03-01 00:20:30,2010-03-01 01:20:30,42,3.5 - 10 µm,1.238,0.3493,0.0294,0.159,0.2149,0.00288,0.0034,0.0159,1.1401,0.0003,0.0001,0.588,0.001,0.035,1.0,162.3595,4.0756,10.5872,2.1982,1726.6558,0.3241,0.203,0.795,0.0025,0.0203,0.0146,0.0276,0.0126,193.4953,0.0023,0.003
195,2659631,1,1301,2011-12-10 11:06:00,2012-01-26 05:36:55,42,0.42 - 1.2 µm,10.975,0.0029,0.1136,0.0071,0.0085,0.04605,0.003,0.0052,1.0937,0.0,0.0002,0.163,0.218,0.035,0.89,0.5669,0.3985,0.5103,0.2573,744.0689,0.257,0.051,1.143,1.2254,0.0253,0.0003,0.015,0.0819,0.854,0.0005,0.073
196,9908123,240,1079,2010-01-18 13:11:01,2010-12-20 06:50:07,42,0.14 - 0.42 µm,3.978,0.001,0.0025,0.009,0.0051,0.00827,0.3626,0.1511,0.0726,0.0023,0.0001,0.823,0.026,0.495,8526.6,0.2588,0.0178,0.0871,7.7928,3438.1848,0.048,0.024,0.69,0.0142,0.0073,0.0467,0.0378,0.0024,0.0024,0.0028,0.115
197,8086847,8,1408,2011-01-18 16:53:43,2012-02-06 14:25:33,42,0.05 - 0.14 µm,2.15,0.0313,0.0001,0.0004,0.2694,0.00294,0.2793,0.0204,1.488,0.0014,0.0485,1.126,0.005,0.183,1.59,0.3691,0.0549,0.8031,198.2274,514.3902,0.0615,0.024,0.362,0.0079,0.0023,0.0261,0.0322,0.0025,1.2927,0.0039,0.022
198,13693505,648,1368,2010-01-13 04:32:12,2010-09-10 05:17:11,42,0.14 - 0.42 µm,20.701,0.0001,0.0068,0.0003,0.2543,0.01668,0.0029,0.4337,0.91,0.0027,0.0044,0.67,0.002,0.222,1063.41,105.5326,1.2944,0.864,24.1603,6.2271,0.0222,0.024,0.81,0.0348,1.0591,0.0028,0.0491,0.0021,1.3881,0.0006,0.1
199,9623268,41,898,2010-02-17 13:00:49,2012-01-25 16:11:55,42,1.2 - 3.5 µm,6.037,0.0016,0.0327,0.0015,0.0161,0.0172,0.6326,0.496,0.5324,0.0454,0.0019,0.574,0.12,0.014,1447.39,0.2397,0.1043,0.7306,1.039,27.6733,0.8747,0.325,1.955,0.5666,0.0137,0.2467,0.1301,0.0125,79.24,0.0016,0.003
200,2209473,0,994,2010-01-19 10:59:10,2012-01-24 09:49:42,42,3.5 - 10 µm,13.71,0.0431,0.0317,0.0007,0.3187,0.06404,0.3472,1.6379,0.2062,0.012,0.0063,0.706,0.394,0.057,260.86,35.091,0.1183,0.2766,0.1839,0.3983,0.01,0.029,0.295,0.0316,0.0036,0.0014,0.0403,0.0019,3.6956,0.0008,0.018
201,13917735,246,1522,2010-01-16 08:13:02,2010-01-17 07:30:33,42,0.14 - 0.42 µm,30.897,0.0,0.0153,0.0017,0.0026,0.01337,3.0656,0.2634,0.0561,0.0027,0.0003,1.873,0.032,0.3,454.58,0.1354,0.2758,0.3374,0.0882,5571.2132,0.0201,0.082,0.519,0.0093,0.0169,0.0724,4.7374,0.7787,0.2171,0.0007,0.006
202,7160458,251,1448,2010-01-11 22:38:15,2010-12-24 13:27:47,42,0.42 - 1.2 µm,0.034,0.0,0.0315,0.002,0.0651,0.00286,2.0538,1.1515,2.6212,0.0045,0.0014,0.693,0.003,0.438,36.88,0.0551,0.8077,1.0786,4.4904,210.0598,0.0254,0.087,0.944,0.0054,0.0205,0.0028,0.1533,0.0051,0.0024,0.0007,0.031
203,15081331,24,1552,2010-01-14 11:07:20,2010-09-14 06:34:26,42,3.5 - 10 µm,0.395,0.0029,0.0196,0.0781,0.0001,0.2156,0.019,0.0072,0.6038,0.0004,0.0001,0.273,0.004,0.045,1.22,92.6949,0.0075,0.4278,9.0456,205.0126,0.01,0.038,1.642,0.0022,0.0855,0.0795,0.0969,0.0081,0.0024,0.0012,0.027
204,13362115,649,1459,2010-01-20 06:14:09,2010-01-20 07:14:09,42,0.42 - 1.2 µm,4.245,0.0588,0.0319,0.0133,0.0116,0.01051,0.0029,0.1679,0.0987,0.0059,0.0001,0.463,0.164,0.222,45.95,0.5746,0.0018,1.6738,0.9616,114.2589,0.0107,0.213,0.915,0.0087,0.1097,0.0048,0.0252,8.2243,59.0271,0.0026,0.003
205,352571,21,1489,2011-02-28 21:12:19,2011-02-28 22:12:19,42,1.2 - 3.5 µm,71.85,0.2369,0.0042,0.0003,0.0638,0.0027,0.5843,0.5376,0.8991,0.0008,0.0002,3.316,0.009,0.286,0.3,0.309,1.1101,0.378,2.9712,0.2312,0.3952,0.027,0.117,0.0149,0.0016,0.0018,0.036,0.0314,0.3606,0.0009,4.43
206,9544074,564,1112,2010-01-26 08:21:17,2010-01-26 09:21:17,42,0.05 - 0.14 µm,40.252,0.0,0.0344,0.0033,0.258,0.00517,0.2099,0.2558,3.7984,0.0006,0.0001,0.268,0.002,0.034,344.74,0.2121,32.426,10.4774,0.0404,5.21,7.7977,0.024,1.392,0.0063,0.0028,0.0074,1.0904,44.8278,0.0024,0.0023,0.491
207,10523153,51,1197,2010-01-28 21:30:04,2010-01-28 22:30:04,42,0.05 - 0.14 µm,0.329,0.7308,0.1422,0.0473,0.0016,0.06312,0.5017,0.3043,2.1188,0.0185,0.0016,1.003,0.073,0.14,3091.29,79.76,0.0018,1.4556,0.006,2.5732,0.0117,0.03,0.869,0.0073,0.0714,0.0468,0.0073,9.3265,68.8477,0.0007,0.005
208,3896708,1,1544,2010-01-30 16:02:44,2010-09-20 10:45:00,42,0.05 - 0.14 µm,131.341,0.1799,0.2247,0.0005,0.0226,0.00741,0.0047,0.8143,1.174,0.0004,0.011,0.9,0.005,0.061,6.56,0.2868,0.4435,0.1056,8.3203,289.1467,0.0314,0.033,1.767,0.017,0.028,0.0003,15.7449,0.0022,0.0024,0.0006,0.003
209,6946723,14,1145,2011-11-09 11:39:20,2011-11-09 12:39:20,42,0.05 - 0.14 µm,0.681,2.5051,0.0083,0.0004,0.0208,0.03774,0.0083,0.5206,0.0138,0.0108,0.0002,0.132,0.016,1.672,591.77,9.5132,0.1529,0.4446,4.8348,152.7974,0.0367,0.073,1.526,0.0466,0.186,0.0493,0.1785,0.0596,0.0024,0.0007,0.01
210,492499,8,1469,2010-02-01 13:29:11,2011-11-01 09:57:37,42,1.2 - 3.5 µm,20.368,0.0005,0.0263,0.1316,0.0219,0.13622,3.5312,0.352,0.1846,0.0409,0.0093,0.918,0.001,0.206,17.4,0.1862,0.0032,3.1603,0.7123,5.7033,0.0534,0.041,2.271,12.0933,0.0044,0.2646,6.1364,0.3834,0.0024,0.0014,0.003
211,12611339,4,1060,2011-02-24 08:43:20,2011-02-24 09:43:20,42,1.2 - 3.5 µm,61.865,0.0089,0.0239,0.0012,0.0136,0.0031,1.8668,0.6602,0.8616,0.0044,0.0002,2.869,0.003,0.116,32.21,0.1855,0.6681,0.9383,0.006,315.6032,13.8668,0.024,0.27,0.003,0.0015,0.0089,0.0071,0.1733,24.466,0.0004,7.25
212,14709616,4,1379,2010-01-21 22:10:24,2011-03-23 11:59:07,42,1.2 - 3.5 µm,49.959,0.0987,0.0351,0.0938,0.0025,0.00411,0.4434,0.2143,0.1131,0.0026,0.0128,0.824,0.079,0.093,541.98,0.004,1.5301,0.2058,36.871,39.4722,2.5835,0.026,2.173,0.0102,0.0015,0.0005,0.9494,0.003,184.4594,0.0011,0.009
213,11328543,168,1318,2012-01-24 04:38:28,2012-01-24 05:38:28,42,3.5 - 10 µm,10.902,0.3701,0.127,0.0777,0.0208,0.00804,0.0073,0.2355,0.2968,0.0001,0.0001,0.603,0.025,0.351,2.01,0.2751,0.5384,4.2953,1.2362,19.5217,0.116,0.024,1.339,0.0086,0.0015,0.1202,0.0245,0.0148,31.0774,0.0435,0.003
214,6028160,4,1335,2010-01-15 13:35:10,2011-01-08 12:57:41,42,0.42 - 1.2 µm,0.052,0.1237,0.0082,0.0636,0.1991,0.01945,1.2464,0.001,1.0143,0.004,0.0001,1.904,0.002,0.112,15.11,1.3994,0.0122,0.3548,9.0055,347.686,0.2625,0.028,0.471,0.0327,0.0663,0.081,0.6115,0.0073,51.0638,0.0007,0.985
215,10580499,57,1360,2010-01-15 21:32:31,2010-10-06 01:49:14,42,0.05 - 0.14 µm,0.767,0.0001,0.0045,0.0006,0.0081,0.02045,0.0291,0.0102,5.8954,0.0002,0.0001,0.711,0.006,0.375,910.36,37.8551,3.7329,1.2802,28.2201,12241.4352,0.01,0.024,1.238,0.0808,0.017,0.3668,0.0587,0.0011,27.122,0.0004,6.128
216,1394467,12,1198,2011-10-24 12:36:11,2012-01-17 15:08:49,42,0.42 - 1.2 µm,70.409,0.0036,0.0054,0.0005,1.6546,0.29027,0.0314,0.018,0.9091,0.0524,0.0133,0.873,0.004,0.265,19.31,0.3445,0.2419,0.5489,51.8293,6.7917,0.2947,0.09,0.195,0.0057,0.0118,0.0115,0.0052,0.0033,43.149,0.0007,0.003
217,1152180,371,1219,2011-03-17 19:52:14,2011-03-17 20:52:14,42,0.42 - 1.2 µm,38.687,0.141,0.0001,0.0023,0.037,0.64458,0.0071,0.1373,0.4446,0.0007,0.0001,0.307,0.003,0.509,174.63,119.7612,2.9376,1.547,0.3513,5.9005,0.0122,1.497,1.159,0.0023,0.002,0.0304,0.0178,1.2075,239.6667,0.0009,0.349
218,9525194,17,1006,2012-02-06 11:14:25,2012-02-06 12:14:25,42,0.05 - 0.14 µm,162.838,0.0229,0.004,0.2123,0.0436,0.00275,0.1164,1.5065,3.8141,0.0006,0.0051,1.02,0.005,0.146,8.26,0.4422,2.7648,10.0547,0.006,9.928,0.3364,0.101,0.88,0.0079,1.0111,0.005,0.0382,1.2563,332.922,0.0023,0.005
219,1733396,433,1453,2010-12-19 09:13:17,2011-12-16 04:03:45,42,0.05 - 0.14 µm,76.445,0.0009,0.0012,0.0004,0.0615,0.0582,4.2189,0.0931,0.9944,0.0003,0.0117,0.688,0.005,0.235,204.46,0.8322,8.1668,0.14,10.8638,2.236,0.1561,0.025,0.627,0.0029,0.0172,0.0005,0.0131,0.0013,0.0236,0.0761,0.144
220,16278112,97,1451,2010-01-15 14:52:03,2012-01-18 11:44:13,42,0.05 - 0.14 µm,0.291,4.491,0.1248,0.0391,0.0094,0.40388,3.8838,0.0148,0.3264,0.0,0.0001,0.347,0.136,0.169,128.91,6.0469,0.0359,0.585,0.0898,4.5468,0.0179,0.027,0.255,0.006,0.0212,0.0037,0.0036,14.2805,0.0024,0.0022,0.249
221,16703866,25,918,2010-01-13 13:51:56,2011-02-11 14:03:32,42,1.2 - 3.5 µm,104.648,0.0,0.0042,0.0003,0.0525,0.0416,1.4986,0.689,0.2808,0.0006,0.0002,0.379,0.053,0.296,1296.69,0.909,0.036,0.7628,0.006,481.8237,0.5682,0.195,0.605,0.0486,0.0755,0.0004,12.1637,0.0171,0.0024,0.0007,0.221
222,3402406,4,1227,2012-01-25 20:12:38,2012-01-25 21:12:38,42,0.14 - 0.42 µm,0.282,0.7876,0.0061,0.1844,0.0121,0.25731,0.0452,0.0128,0.989,0.0009,0.0001,2.054,0.065,0.198,152.82,0.1265,0.1838,5.4177,16.4105,522.7271,0.046,0.04,0.938,0.0026,0.0015,0.0002,0.0021,0.5083,0.0024,0.0008,43.87
223,7355928,180,974,2010-01-13 20:00:55,2010-12-19 19:21:41,42,0.14 - 0.42 µm,26.249,0.0097,0.0018,0.0005,0.2795,0.17858,0.0124,0.3995,0.0583,0.0002,0.0002,0.414,0.001,0.013,5.02,30.7152,0.0895,6.9929,0.006,3.3876,0.01,0.024,0.739,0.1487,0.0015,0.0727,0.7482,32.5077,332.922,0.016,0.108
224,3444433,528,1125,2010-01-21 16:32:49,2012-01-04 16:28:16,42,0.42 - 1.2 µm,0.1,0.066,0.0144,0.0033,0.1103,0.01038,1.1324,0.004,0.0783,0.0022,0.0001,0.929,0.004,0.078,29.53,124.01,0.0105,1.2498,7.322,5.3375,0.0117,0.024,0.436,0.1795,0.0015,0.0448,0.344,0.0203,0.2657,0.0031,0.004
225,15601901,125,1193,2011-02-09 07:30:14,2011-02-09 08:30:14,42,0.42 - 1.2 µm,1.618,0.0137,0.0066,0.0028,0.0092,0.23207,0.4144,1.4135,0.4101,0.0,0.0003,2.59,0.004,0.2,510.11,2.136,0.114,0.2449,0.006,1.6975,0.1146,0.034,1.236,0.0031,0.0015,0.0093,0.0159,0.0024,2.3415,0.0893,0.003
